Occupation,"Number
of
workers","Median
weekly
earnings",Standard error of median
"Total, full-time wage and salary workers","51,425",$789 ,$3 
"Management, professional, and related occupations","25,123","1,078",6
Business and financial operations occupations,"3,471","1,105",15
Professional and related occupations,"15,929","1,024",6
Architecture and engineering occupations,453,"1,259",30
Community and social service occupations,"1,469",886,11
Legal occupations,815,"1,243",32
"Education, training, and library occupations","5,251",934,8
"Arts, design, entertainment, sports, and media occupations",828,997,23
Healthcare practitioners and technical occupations,"5,354","1,078",11
Service occupations,"8,340",511,2
Food preparation and serving related occupations,"2,184",473,5
Building and grounds cleaning and maintenance occupations,"1,322",477,5
Personal care and service occupations,"2,022",517,5
Sales and office occupations,"14,166",696,4
Office and administrative support occupations,"9,711",711,4
"Natural resources, construction, and maintenance occupations",516,638,28
"Installation, maintenance, and repair occupations",142,823,62
"Production, transportation, and material moving occupations","3,279",561,6
Transportation and material moving occupations,"1,237",538,9
